Country,Literacy Rate,Physician Density,GDP (Current USD),GDP Growth (% Annual),GDP per Capita (Current USD),GDP per Capita Category,Unemployment Rate (%),Continent
Luxembourg,100.0,3.01,85755006124.0,-1.095723616,128678.1899,Very High,5.184,Europe
Madagascar,74.8,0.18,15790113247.0,3.8,506.1593687,Very Low,3.069,Africa
Malawi,65.8,0.04,12712150082.0,1.892457988,602.3436198,Very Low,5.033,Africa
Malaysia,95.9,1.51,399705000000.0,3.555487154,11379.0861,Mid,3.869,Asia
Maldives,98.6,4.56,6590894302.0,4.72639189,12530.36024,Mid,4.241,Asia
Mali,35.5,0.13,20661794596.0,4.656775991,869.2702343,Very Low,2.956,Africa
Malta,94.5,2.86,22328640242.0,7.498512459,40395.76921,High,3.11,Europe
Marshall Islands,98.3,0.42,259300000.0,-3.934871099,6678.342391,Low,36.0,Oceania
Mauritania,52.1,0.19,10651709411.0,6.507187199,2120.823204,Low,10.446,Africa
Mauritius,91.3,2.53,14644524819.0,6.958287403,11613.04416,Mid,5.571,Africa
Mexico,95.2,2.38,1789110000000.0,3.199981166,13790.02434,Mid,2.765,North America
Federated States of Micronesia,89.0,0.18,460000000.0,0.784313725,4084.169404,Low,16.2,Oceania
Moldova,99.4,3.21,16539436547.0,0.78324271,6729.412868,Low,1.555,Europe
Monaco,100.0,6.56,9995350547.0,5.043382592,256580.5151,Very High,2.0,Europe
Mongolia,99.2,2.86,20325121394.0,7.422112762,5838.631081,Low,5.503,Asia
Montenegro,98.7,2.76,7530593375.0,6.337697542,12221.47755,Mid,14.621,Europe
Morocco,73.8,0.73,144417000000.0,3.403341301,3771.446289,Low,9.044,Africa
Mozambique,60.7,0.08,20954220984.0,5.436859122,622.9856193,Very Low,3.519,Africa
Myanmar,89.1,0.68,66757619000.0,0.958446625,1233.196662,Very Low,3.032,Asia
Namibia,92.6,0.42,12351025067.0,4.159985755,4168.285211,Low,19.365,Africa
Nauru,96.5,1.0,154170289.3,0.590699676,12982.76121,Mid,23.0,Oceania
Nepal,71.0,0.75,40908073367.0,1.952544633,1377.626036,Very Low,10.628,Asia
Netherlands,99.0,3.61,1154360000000.0,0.074560722,64572.00596,Very High,3.537,Europe
New Zealand,99.0,3.59,252176000000.0,0.733302172,48280.81142,High,3.729,Oceania
Nicaragua,83.6,0.98,17829218219.0,4.569223171,2612.870662,Low,4.716,North America
Niger,35.0,0.04,16819170421.0,2.5,642.9379179,Very Low,0.425,Africa
Nigeria,62.0,0.38,363846000000.0,2.860214991,1596.636961,Very Low,3.074,Africa
North Korea,100.0,3.67,15000000000.0,-4.5,583.0,Very Low,2.7,Asia
North Macedonia,98.9,2.65,15763621848.0,2.072749779,8624.293609,Mid,13.174,Europe
Norway,99.0,2.92,485311000000.0,0.479647246,87925.09442,Very High,3.572,Europe
Oman,95.7,2.0,108811000000.0,1.310440113,21549.83687,High,3.176,Asia
Pakistan,58.0,0.98,337912000000.0,-0.039692523,1365.277432,Very Low,5.408,Asia
Palau,99.4,1.18,281849062.5,1.877069798,15899.42249,Mid,1.7,Oceania
Palestinian National Authority,97.4,1.47,17420800000.0,-5.410937,3372.349744,Low,24.4,Asia
Panama,95.4,1.57,83318176900.0,7.399301556,18686.4051,Mid,6.544,North America
Papua New Guinea,63.4,0.07,30729242919.0,3.035704755,2957.682625,Low,2.661,Oceania
Paraguay,94.5,1.35,42956263544.0,4.714124079,6276.351139,Low,5.794,South America
Peru,94.5,1.27,267603000000.0,-0.550182306,7906.585029,Mid,4.899,South America
Philippines,96.3,0.6,437146000000.0,5.545851171,3804.87258,Low,2.222,Asia
Poland,99.8,2.38,809201000000.0,0.138832755,22056.66617,High,2.743,Europe
Portugal,95.7,5.12,289114000000.0,2.526281108,27331.20949,High,6.509,Europe
Qatar,97.8,2.49,213003000000.0,1.187159912,80195.87465,Very High,0.13,Asia
Romania,98.9,2.98,350776000000.0,2.404271779,18404.27309,Mid,5.589,Europe
Russia,99.7,4.01,2021420000000.0,3.6,13817.0459,Mid,3.076,Europe
Rwanda,73.2,0.13,14097768472.0,8.241287695,1010.268929,Very Low,12.352,Africa
Saint Kitts and Nevis,97.8,2.52,1055499778.0,2.284948091,22573.67248,High,5.3,North America
Saint Lucia,90.1,0.64,2430148148.0,2.21007266,13554.66519,Mid,11.092,North America
Saint Vincent and the Grenadines,96.0,0.66,1065962963.0,6.016109145,10520.44415,Mid,18.574,North America
Samoa,99.0,0.34,938189443.8,8.584091218,4330.178405,Low,4.977,Oceania
San Marino,99.9,6.11,1659386536.0769231,0.09867328330769237,49407.31049692308,High,5.6,Europe
Saudi Arabia,97.6,2.61,1067580000000.0,-0.754914811,32093.9623,High,4.008,Asia
Senegal,52.1,0.07,30848333084.0,4.584061405,1706.44218,Very Low,2.8,Africa
Serbia,98.0,3.11,81342660752.0,3.847471128,12281.50585,Mid,8.268,Europe
Seychelles,95.9,0.95,2141450171.0,3.161714355,17879.23965,Mid,3.0,Africa
Sierra Leone,43.2,0.03,6411869546.0,5.710021898,757.858336,Very Low,3.153,Africa
Singapore,97.5,2.29,501428000000.0,1.075031751,84734.25592,Very High,3.444,Asia
Slovakia,99.6,3.42,132908000000.0,1.378337272,24491.37719,High,5.84,Europe
Slovenia,99.7,3.09,69148468417.0,2.112591843,32610.11092,High,3.652,Europe
